YNL135C    # 
YHL015W    12.01.01 
YGR236C    # 
YDL085W    02.13.03 02.16.01 20.01.15 
YBR278W    10.01.03 10.01.05 10.01.09 
YPR184W    01.05.03 
YGR224W    20.01.27 
YDR308C    11.02.03 
YDL191W    12.01.01 
YDR481C    14.07.03 
YOR349W    10.03.01 
YCR002C    01.05.25 10.03.01 10.03.03 34.11.03 41.01.01 43.01.03 
YBR035C    01.07.01 
YCR018C    11.04.01 
YDR244W    20.09.03 
YFR037C    10.01.09 10.03.01 11.02.03 
YOL088C    # 
YLR163C    14.07.11 
YBR069C    20.01.07 20.09.18 
YIR025W    10.01.05 10.03.01 
YGL215W    10.03.01 18.02.01 
YLR084C    43.01.03 
YML073C    12.01.01 16.03.03 
YPR066W    14.07.07 18.02.01 
YDR092W    10.01.05 14.07.05 14.13.01 
YMR223W    14.07.05 14.13.01 
YDL040C    14.07.04 
YMR142C    12.01.01 
YKL089W    10.03.04 10.03.05 16.03.01 
YLR239C    14.07.01 
YNL133C    10.01.05 
YPL019C    20.09.13 
YOR198C    10.03.01 10.03.02 10.03.03 10.03.05 16.03.03 43.01.03 
YLR102C    10.03.01 14.07.05 14.13.01 16.19.03 
YGL241W    20.01.10 20.09.01 
YML055W    14.07.11 
YHR143W-A  11.02.01 11.02.02 11.02.03 16.03.01 
YLL050C    20.09.18 42.04.03 43.01.03 
YCR021C    34.01.01 
YGR133W    14.07.05 14.13.01 
YBR038W    01.05.03 10.03.03 32.01.03 43.01.03 
YDR023W    # 
YHR197W    11.04.01 
YOR039W    10.03.01 11.02.01 11.02.02 14.07.03 32.01.09 34.07.01 43.01.03 
YMR101C    01.06.06 14.07.02 
YPL087W    32.01.05 34.11.09 
YDR135C    20.01.25 20.03.25 20.09.13 34.11.03 
YNL325C    20.09.16 34.11.03 41.01.01 
YNL001W    10.03.01 10.03.02 
YBR128C    14.07.11 
YGR094W    # 
YOL146W    10.01.03 16.03.01 
YNL032W    14.07.03 18.01.01 18.02.01 20.09.18 30.01.05 42.04.03 
YNL098C    01.03.13 01.05.25 10.03.01 30.01.05 30.01.09 34.11.12 43.01.03 
YNL216W    01.02.07 01.05.25 10.01.09 10.03.01 11.02.01 11.02.02 11.02.03 16.03.01 32.01.09 42.10.03 
