YDL148C    11 12 16 
YDR462W    12 42 
YMR273C    10 16 32 40 42 43 
YDL055C    01 14 42 
YDR378C    11 
YPR080W    12 
YLR266C    11 16 32 
YBR297W    01 11 
YML104C    10 42 
YKR076W    42 
YJR048W    02 20 
YPR004C    02 20 42 
YNL199C    01 02 11 
YGL263W    # 
YMR031C    # 
YPL263C    # 
YGR195W    01 11 42 
YLR228C    01 11 
YHR216W    01 
YLR438C-A  11 16 
YKL056C    12 
YGR289C    20 
YPL037C    01 11 12 14 16 32 
YBR014C    01 
YOL039W    12 
YGL068W    12 42 
YNL192W    01 10 34 43 
YLR447C    14 20 34 
YGL014W    01 11 14 16 20 40 
YOL012C    10 11 
YGR171C    12 
YOR007C    # 
YJL029C    20 
YDR078C    # 
YDR182W    10 34 40 41 42 43 
YGL200C    20 42 
YML074C    14 
YJR052W    10 16 32 
YNL194C    43 
YDR363W-A  10 14 20 43 
YLL002W    10 38 
YBR180W    20 32 43 
YOR037W    14 20 42 
YDR032C    32 
YBL047C    20 
YER045C    11 
YBR154C    11 16 
YPL156C    41 
YJL020C    16 42 
YJL047C    10 14 16 38 
YLR193C    # 
YBR253W    01 11 34 43 
YCR020C    01 11 42 
