YKL127W    01.05 02.01 02.07 02.19 
YJL131C    # 
YER021W    14.13 
YDR495C    14.04 14.07 14.10 20.09 
YDR382W    12.01 12.04 
YOL129W    14.04 20.09 
YKR009C    01.06 02.25 42.01 
YNL280C    01.06 16.21 
YLR259C    14.01 14.04 16.03 20.01 20.09 32.01 
YKR049C    32.01 
YKL073W    14.01 14.04 16.01 20.01 32.01 
YDR505C    # 
YDR496C    11.02 41.01 
YGL202W    01.01 01.20 
YOL077W-A  02.11 02.13 02.45 20.01 20.09 
YCL040W    01.04 01.05 02.01 20.01 20.09 
YFR007W    # 
YKL137W    # 
YGR072W    01.03 12.07 
YER022W    11.02 
YIL118W    20.09 30.01 40.01 42.04 43.01 
YKL006C-A  20.09 
YJR008W    # 
YNL215W    # 
YDR172W    01.03 10.03 12.04 
YBR042C    01.06 
YER056C-A  12.01 
YPL064C    # 
YNL085W    01.03 10.01 
YDR256C    32.01 32.07 
YGL051W    16.01 20.03 20.09 42.08 42.09 
YBL038W    12.01 12.04 42.16 
YNL287W    20.09 
YPL166W    # 
YJL005W    01.03 10.03 30.01 34.11 43.01 
YOR281C    11.02 18.02 34.11 
YAR050W    16.13 34.07 
YMR114C    # 
YLR044C    01.05 02.13 02.16 
YGR251W    11.04 
YJL099W    01.05 20.09 42.01 
YLR262C    20.01 20.09 
YFR010W    14.07 14.13 
YOR260W    12.04 
YKR028W    01.04 10.03 14.07 30.01 43.01 
YOR374W    01.05 02.13 02.16 42.16 
YJR046W    10.01 
YJR122W    11.02 
YML105C    14.04 20.01 
YKL035W    01.04 01.05 02.19 14.07 
YJL102W    12.04 
YER058W    14.10 
YOR373W    10.03 42.04 
YGL222C    01.03 11.04 16.03 
YDL035C    30.01 30.05 34.11 40.01 43.01 
YDR533C    16.01 32.01 
YGR198W    30.01 
YJL034W    01.04 10.03 14.01 14.04 16.01 16.19 20.03 20.09 32.01 41.01 42.10 
YNR059W    01.05 14.07 
YNR022C    12.01 42.16 
YDR034C    01.01 11.02 
YGR156W    11.02 11.04 16.03 
YLR066W    14.07 
YPL186C    # 
YBR173C    14.13 16.01 18.02 32.01 
YHR057C    14.01 32.01 
YJL031C    01.06 14.07 
YLR234W    10.01 10.03 32.01 42.10 
YHR121W    16.03 
YDR119W-A  # 
YDL067C    02.11 02.13 14.10 20.01 
YKL180W    12.01 
YGR037C    01.06 16.13 20.01 
YDR280W    01.03 11.04 
YBR191W    12.01 
YDR346C    # 
YDL232W    01.05 14.07 16.01 
YMR229C    11.04 16.03 
YKR092C    16.01 20.09 32.01 
YAL060W    01.05 02.16 16.17 16.21 
YLR117C    10.01 10.03 11.04 
YCR019W    # 
YDR143C    10.01 14.07 14.10 14.13 16.01 16.19 34.11 
YDL122W    14.07 14.13 
YAL031C    # 
YLR089C    01.01 01.02 
YOR361C    10.03 12.04 43.01 
YGR154C    # 
YBL035C    10.01 
YHR087W    # 
YDR151C    11.02 40.01 
YDR493W    # 
YGL022W    01.05 14.07 
YLR192C    11.02 11.04 12.04 16.03 
YOR265W    10.03 14.01 16.01 
YDR031W    # 
YPL074W    01.04 14.13 16.19 
YLR335W    14.04 16.07 20.01 20.09 42.10 
YKR083C    10.03 40.01 42.04 43.01 
YHR156C    16.01 
YDR129C    16.01 16.06 20.09 32.01 42.04 43.01 
YDR453C    01.20 32.01 32.07 
YAL008W    # 
YDR191W    01.06 10.01 11.02 16.03 34.11 
YLL026W    01.04 14.01 16.01 16.19 32.01 
YLR459W    14.07 42.07 
YGR099W    16.03 32.01 42.10 
YLR110C    34.11 41.01 42.01 
YBR137W    # 
YNL281W    14.01 32.01 
YOR142W    01.05 02.10 16.19 
YLR430W    11.04 16.19 
YDR304C    14.01 
YAR033W    16.01 20.03 20.09 42.08 42.09 
YPL020C    10.03 14.07 14.13 
YHR001W-A  02.11 02.13 
YMR150C    14.04 14.07 
YOR153W    16.19 20.01 20.03 32.05 32.07 34.01 
YLR034C    20.01 34.01 
YBL027W    12.01 
YNL213C    10.01 42.16 
YMR255W    20.01 20.09 
YDR033W    32.01 
YPL154C    14.07 14.13 32.01 43.01 
YDR253C    01.01 01.02 11.02 16.03 
YGR238C    34.11 41.01 43.01 
YEL011W    01.05 02.19 
YML103C    14.04 16.07 20.01 20.09 42.10 
YIL051C    01.01 42.16 
YOR305W    # 
YLR079W    10.03 16.01 18.02 
YDL140C    11.02 16.03 
YPL129W    01.04 01.05 10.01 10.03 11.02 34.11 
YKR063C    10.03 42.29 43.01 
YGR028W    01.04 14.04 16.19 20.09 
YKL116C    01.04 14.07 30.01 30.05 
YFL057C    01.01 01.05 02.16 
YLL009C    02.13 14.01 14.10 20.01 34.01 
YGR123C    01.04 14.07 30.01 
YMR220W    01.04 01.06 16.19 
YMR188C    02.13 12.01 42.16 
YJR059W    01.04 10.03 14.07 20.01 20.09 34.01 34.11 
YNL075W    11.04 11.06 16.03 
YML117W    16.03 
YMR116C    02.16 12.01 12.04 
YBR194W    # 
YAL044C    01.01 01.05 01.07 
YKL091C    # 
YKL139W    01.04 11.02 14.07 
YHR129C    10.03 20.09 40.01 42.04 43.01 
YLR436C    42.01 
YOR253W    14.07 
YNL268W    20.01 20.09 
YKR106W    20.01 20.03 32.07 
YDR110W    10.01 16.03 40.20 
YDL029W    10.03 16.01 20.09 40.01 42.04 43.01 
YOR132W    14.04 20.09 
YBR149W    01.05 16.21 
YOR150W    12.01 42.16 
YEL012W    02.01 14.07 14.10 14.13 16.01 
YOR192C    20.01 20.03 
YGR030C    11.04 
YBR172C    20.09 42.04 
YDR226W    01.03 01.04 10.03 
YOL005C    11.02 16.03 
YML064C    10.03 16.01 30.01 
YOR089C    14.04 20.09 
YJR022W    11.04 
YPR176C    01.06 14.07 
YIL148W    12.01 14.13 
YPL194W    10.01 10.03 32.01 
YDR140W    14.07 
YNL252C    12.01 42.16 
YGR282C    01.05 42.01 
YOR219C    14.07 34.11 
YBR164C    14.04 14.07 20.09 
YBR188C    11.04 
YMR060C    01.06 14.04 14.10 16.01 20.03 20.09 42.16 
YOR195W    10.03 
YIL076W    14.04 20.09 
YBR217W    14.04 14.07 14.13 20.09 42.25 
YIL002C    01.04 01.06 20.09 30.01 42.01 
YDR518W    14.01 
YOR178C    01.04 01.05 02.19 10.03 11.02 14.07 18.02 32.01 34.11 
YBL003C    10.01 11.02 16.03 
YDR376W    01.06 01.07 20.01 34.01 
YGL058W    10.01 14.07 14.10 14.13 16.01 43.01 
YFL005W    10.03 20.09 30.01 43.01 
YDR014W    32.01 
YML061C    10.01 32.01 42.10 
YDL007W    01.04 14.07 14.13 16.19 
YBR030W    01.05 01.06 
YLR021W    # 
YPL225W    # 
YIL122W    10.03 11.02 
YJR036C    11.04 14.07 14.10 14.13 16.01 16.19 
YMR195W    # 
YDR138W    10.01 11.02 16.19 20.01 
YPL218W    20.09 
YGR004W    42.19 
YPR037C    01.02 14.01 14.07 
YOR244W    10.01 10.03 11.02 14.07 42.10 
YMR314W    14.07 14.13 
YBR037C    14.10 16.17 20.01 34.01 
YMR123W    20.01 
YBR112C    11.02 18.02 
YER133W    01.04 01.05 02.19 10.03 11.02 11.04 12.07 14.07 32.01 34.11 40.01 43.01 
YNL247W    01.01 12.10 
YKL132C    01.07 
YOR303W    01.01 
YKL012W    11.04 16.03 
YLR395C    02.11 02.13 20.01 
YHR141C    12.01 
YBL052C    10.01 11.02 14.07 34.11 
YCL045C    # 
YDL135C    18.02 30.01 40.01 42.04 43.01 
YNL152W    16.09 
YJL111W    14.01 16.01 32.01 42.04 
YNL244C    12.04 
YNL135C    12.01 14.01 
YHL015W    12.01 
YGR236C    # 
YDL085W    02.11 02.13 02.16 20.01 42.16 
YBR278W    10.01 
YPR184W    01.05 02.19 
YGR224W    20.01 32.07 
YDR308C    11.02 
YDL191W    12.01 
YDR481C    01.04 14.07 
YOR349W    10.03 14.01 16.01 
YCR002C    01.05 10.03 16.09 34.11 40.01 41.01 42.01 42.04 43.01 
YBR035C    01.06 01.07 
YCR018C    11.04 
YDR244W    14.04 16.01 16.02 20.09 42.19 
YFR037C    10.01 10.03 11.02 
YOL088C    14.01 
YLR163C    14.07 
YBR069C    20.01 20.09 
YIR025W    10.01 10.03 
YGL215W    10.03 18.02 
YLR084C    43.01 
YML073C    12.01 16.03 
YPR066W    14.07 18.02 
YDR092W    10.01 14.07 14.10 14.13 16.01 
YMR223W    14.07 14.13 
YDL040C    01.06 14.07 
YMR142C    12.01 
YKL089W    10.03 16.03 
YLR239C    01.07 14.07 
YNL133C    10.01 
YPL019C    20.09 42.25 
YOR198C    10.03 16.03 42.29 43.01 
YLR102C    10.03 14.07 14.10 14.13 16.01 16.19 
YGL241W    14.04 20.01 20.09 42.10 
YML055W    14.07 16.01 
YHR143W-A  11.02 16.03 
YLL050C    14.10 16.01 20.09 40.01 42.04 43.01 
YCR021C    32.01 34.01 
YGR133W    14.07 14.10 14.13 16.01 42.19 
YBR038W    01.05 10.03 32.01 43.01 
YDR023W    12.10 
YHR197W    11.04 12.01 
YOR039W    01.04 10.03 11.02 14.07 32.01 34.01 34.07 43.01 
YMR101C    01.06 14.07 42.01 
YPL087W    01.06 32.01 34.11 
YDR135C    20.01 20.03 20.09 32.07 34.11 
YNL325C    01.04 20.09 34.11 40.01 41.01 
YNL001W    10.03 12.07 
YBR128C    14.07 14.13 
YGR094W    12.10 
YOL146W    10.01 16.03 
YNL032W    01.04 14.07 18.01 18.02 20.09 30.01 32.01 42.04 
YNL098C    01.03 01.05 10.03 30.01 32.01 34.11 40.10 40.20 43.01 
YNL216W    01.02 01.05 10.01 10.03 11.02 12.07 16.03 32.01 42.10 
YIL036W    01.03 10.01 11.02 
YLR332W    10.03 30.05 34.11 40.01 41.01 42.01 
YGR081C    01.03 10.01 
YPL096C-A  18.02 30.01 
YCL005W-A  01.05 14.07 16.19 20.01 20.03 34.01 42.01 
YBR058C-A  01.06 18.02 
YPL273W    01.01 
YGR248W    02.07 11.04 
YOL058W    01.01 01.02 01.20 
YKR085C    12.01 42.16 
YHL007C    01.04 14.07 30.05 34.11 40.01 42.04 43.01 
YJL110C    01.02 11.02 
YOR136W    01.01 01.05 02.10 16.21 
YOL086W-A  # 
YOR202W    01.01 
YJL074C    01.04 10.03 16.19 43.01 
YOR127W    18.02 30.01 30.05 34.11 40.01 42.04 42.29 43.01 
YPR188C    10.03 16.06 40.01 42.04 43.01 
YNL054W    01.06 14.04 18.02 
YBR153W    01.07 
YGL018C    01.07 02.13 14.01 16.01 
YGR142W    20.01 34.01 
YPL013C    12.01 42.16 
YKL186C    16.01 20.01 20.09 
YDR206W    10.01 32.01 42.10 
YBL037W    14.10 20.09 
YPR042C    01.03 11.04 16.03 
YGR002C    10.01 14.07 16.03 42.10 
YBR085W    02.13 20.01 20.03 20.09 
YMR271C    01.03 
YBR109C    10.03 16.17 20.09 34.11 40.01 42.04 43.01 
YBL078C    14.04 14.07 14.13 16.01 20.09 
YLL001W    42.16 
YLR013W    01.02 11.02 
YDR381W    16.03 20.01 
YMR153W    14.04 16.07 20.01 20.09 42.10 
YNL323W    11.02 30.05 
YER115C    40.01 42.04 43.01 
YGR254W    01.05 01.20 02.01 
YPR067W    20.01 34.01 
YDR441C    01.03 
YIL145C    01.07 
YMR164C    01.05 02.19 11.02 43.01 
YPR102C    12.01 
YLR141W    11.02 16.03 
YJL030W    10.03 
YLR168C    14.04 
YJR096W    01.05 01.20 
YOR172W    11.02 20.01 32.07 
YGL059W    01.04 14.07 
YHR015W    11.04 12.04 16.03 20.01 
YGL037C    01.03 01.07 10.01 40.20 
YDR359C    10.01 
YOR259C    01.04 11.02 14.07 14.13 16.19 
YLR073C    # 
YBL041W    14.07 14.13 
YNL009W    01.05 01.06 01.07 02.10 02.45 16.21 
YGL030W    11.04 12.01 12.07 
YJR076C    01.05 10.03 16.09 34.11 40.01 41.01 42.01 42.04 43.01 
YCR105W    01.05 02.01 02.16 
YKL045W    10.01 32.01 
YHR162W    # 
YLR262C-A  # 
YNL070W    14.04 20.01 20.03 20.09 
YJR139C    01.01 
YGR217W    20.01 20.03 34.01 34.11 
YPL003W    14.07 18.02 
YLR017W    01.01 01.03 
YDL092W    14.04 16.01 20.01 
YJL044C    18.02 20.01 20.09 
YOR096W    12.01 
YLR404W    # 
YDL169C    # 
YNL206C    10.01 38.07 
YJL101C    01.07 01.20 32.05 32.07 
YDL136W    12.01 
YLR375W    11.04 20.01 
YDL216C    14.07 14.13 16.17 34.11 
YIL153W    10.01 10.03 18.02 32.01 
YGR098C    10.03 14.13 
YER010C    # 
YFR028C    01.04 10.01 10.03 14.07 
YBR068C    20.01 20.09 
YDL212W    14.04 14.07 16.01 20.01 20.09 30.01 32.01 
YHR008C    32.01 32.07 
YBL017C    14.04 16.01 20.09 
YGL011C    14.07 14.13 
YGL238W    14.04 20.01 20.09 42.10 
YBR111W-A  10.01 11.02 20.01 20.09 
YBR052C    20.01 
YPR085C    # 
YPR167C    01.01 01.02 
YOR092W    01.04 16.19 42.01 
YNR010W    10.03 11.02 
YGR247W    01.03 10.01 10.03 11.04 
YIL125W    01.05 02.10 16.21 
YOR210W    11.02 16.03 
YOR270C    01.04 14.04 14.10 20.01 20.03 20.09 34.01 
YLR304C    01.01 01.05 02.10 02.16 
YLR028C    01.03 01.05 02.13 43.01 
YBR200W    10.03 16.01 34.11 40.01 41.01 42.04 43.01 
YOR087W    20.01 20.03 20.09 34.01 
YER081W    01.01 16.21 
YFR053C    01.04 01.05 02.01 
YOR212W    30.01 30.05 34.11 43.01 
YNL110C    10.03 12.01 
YIL098C    01.07 14.10 
YDR148C    01.05 02.10 
YJL059W    20.01 34.01 
YML128C    10.01 10.03 
YIL130W    11.02 
YOR001W    11.04 
YEL044W    # 
YBL001C    01.05 42.01 
YOR351C    01.04 10.01 10.03 14.07 
YDR373W    16.17 18.02 30.01 
YBL066C    11.02 43.01 
YGR091W    11.04 
YLR087C    02.16 
YAL012W    01.01 
YOL002C    01.04 01.06 16.17 34.01 34.11 
YJR068W    10.01 10.03 16.03 16.19 18.02 
YCL035C    20.01 32.01 32.07 
YGR005C    11.02 
YDL049C    01.05 02.19 
YDR484W    10.03 16.01 20.09 42.04 
YIL062C    14.10 16.01 16.07 20.09 42.04 43.01 
YKL206C    # 
YAL017W    01.04 01.05 14.07 
YMR115W    # 
YLR381W    10.03 16.01 42.10 
YEL005C    16.01 
YGL098W    14.04 20.01 20.09 
YBL028C    34.11 
YIR017C    01.01 01.02 11.02 16.03 
YGR184C    14.07 14.10 14.13 16.01 16.19 
YMR300C    01.03 
YLR008C    14.04 16.01 18.02 20.01 20.09 32.01 
YIL057C    # 
YIL107C    01.04 01.05 02.01 
YLR418C    11.02 
YGL136C    11.04 11.06 42.16 
YDR247W    01.04 10.03 14.07 
YHR024C    14.07 
YFR043C    # 
YOR255W    42.01 43.01 
YNL131W    14.04 20.01 20.03 20.09 
YML007W    11.02 32.01 32.05 
YMR194W    12.01 16.03 
YNR064C    32.07 
